Country Name,Country Code,Year,Life Expectancy (Years),GDP/capita (USD),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate/100000),2005-1010 crime rate ratio,BLcode,sex,agefrom,ageto,Percentage of No Schooling Attained in Pop,Percentage of Primary Schooling Attained in Pop,Percentage of Complete Primary Schooling Attained in Pop,Percentage of Secondary Schooling Attained in Pop,Percentage of Complete Secondary Schooling Attained in Pop,Percentage of Tertiary Schooling Attained in Pop,Percentage of Complete Tertiary Schooling Attained in Pop,Average Years of Schooling Attained,Average Years of Primary Schooling Attained,Average Years of Secondary Schooling Attained,Average Years of Tertirary Schooling Attained,Population (1000s),region_code
Afghanistan,AFG,2005,58.29,242.031313175022,14.405357093587591,,79,MF,15,19,61.01,12.08,9.4,25.45,8.07,1.46,0.28,3.39,2.26,1.09,0.03,3151,South Asia
Afghanistan,AFG,2010,61.028,543.306526178281,14.43434040853463,1.0020119817064403,79,MF,15,19,37.2,32.78,25.5,28.64,9.45,1.38,0.27,4.81,3.55,1.23,0.03,3853,South Asia
Albania,ALB,2005,75.228,2673.78658429559,3.045974055797092,,156,MF,15,19,1.89,9.06,8.42,88.17,19.14,0.87,0.17,10.03,7.82,2.18,0.02,312,Europe and Central Asia
Albania,ALB,2010,76.562,4094.34838574494,2.2805270266147675,0.7487020522300486,156,MF,15,19,0.98,5.31,4.8,93.7,36.85,0.0,0.0,9.17,3.95,5.22,0.0,303,Europe and Central Asia
United Arab Emirates,ARE,2005,75.376,39365.4596409245,1.233752742420059,,105,MF,15,19,1.5,12.3,9.8,86.0,41.1,0.2,0.04,9.66,5.84,3.83,0.0,349,Middle East and North Africa
United Arab Emirates,ARE,2010,76.332,33893.2772453878,1.688298832579181,1.368425596580649,105,MF,15,19,0.1,12.56,10.44,85.21,45.23,2.13,0.41,10.02,5.93,4.04,0.05,372,Middle East and North Africa
Argentina,ARG,2005,74.451,5109.85224490403,5.035562923797717,,67,MF,15,19,0.3,32.42,29.81,67.28,18.55,0.01,0.0,9.28,6.89,2.39,0.0,3370,Latin America and the Caribbean
Argentina,ARG,2010,75.278,10385.9644319555,5.962433924638635,1.1840650220972495,67,MF,15,19,0.3,29.25,26.35,66.05,17.26,4.41,0.0,8.75,5.9,2.76,0.09,3464,Latin America and the Caribbean
Armenia,ARM,2005,72.626,1643.75688889146,4.671115956149383,,308,MF,15,19,0.41,7.98,7.7,80.4,46.68,11.21,2.18,8.99,2.98,5.74,0.27,320,Europe and Central Asia
Armenia,ARM,2010,73.331,3218.37829927419,4.9697761048984965,1.0639376439276649,308,MF,15,19,2.21,4.59,4.5,68.06,38.51,25.14,4.87,9.47,2.93,5.93,0.6,266,Europe and Central Asia
Australia,AUS,2005,80.8414634146341,34080.9998953245,1.267084132621802,,131,MF,15,19,0.11,26.58,26.34,72.45,69.72,0.85,0.14,10.32,5.99,4.32,0.02,1405,Advanced Economies
Australia,AUS,2010,81.6951219512195,52087.9722888891,1.509130793622652,1.191026511002088,131,MF,15,19,0.11,20.5,20.5,79.39,32.03,0.0,0.0,10.81,6.99,3.82,0.0,1421,Advanced Economies
Austria,AUT,2005,79.3317073170732,38417.4577857677,0.8842907840577419,,107,MF,15,19,0.1,56.55,52.31,43.25,8.59,0.09,0.01,5.99,3.91,2.08,0.0,474,Advanced Economies
Austria,AUT,2010,80.5804878048781,46903.7615854343,0.8184316061506715,0.9255231660281896,107,MF,15,19,0.1,56.72,52.79,43.13,7.06,0.04,0.01,5.93,3.92,2.01,0.0,482,Advanced Economies
Burundi,BDI,2005,53.369,151.681566343002,0.8988818402448477,,6,MF,15,19,41.32,47.62,36.97,11.02,3.5,0.04,0.01,3.75,3.2,0.55,0.0,930,Sub-Saharan Africa
Burundi,BDI,2010,57.228,234.235538877634,0.9514337110130276,1.0584636026842695,6,MF,15,19,33.37,48.09,38.75,18.5,6.1,0.05,0.01,5.08,4.34,0.74,0.0,997,Sub-Saharan Africa
Belgium,BEL,2005,78.9804878048781,36809.7013403619,1.8392580500468905,,108,MF,15,19,5.6,11.31,9.9,82.92,22.67,0.16,0.05,8.8,5.62,3.18,0.0,615,Advanced Economies
Belgium,BEL,2010,80.1829268292683,44184.946353964,1.4717496873139728,0.8001866226854093,108,MF,15,19,0.32,19.75,16.49,79.73,23.97,0.2,0.07,8.45,5.88,2.57,0.01,620,Advanced Economies
Benin,BEN,2005,57.355,822.785143124704,6.473571761264618,,3,MF,15,19,36.01,26.57,20.63,36.84,12.18,0.59,0.11,5.56,3.66,1.88,0.01,926,Sub-Saharan Africa
Benin,BEN,2010,59.318,1036.53451502404,6.813700046542755,1.0525410542775373,3,MF,15,19,22.64,30.29,24.41,45.79,15.14,1.28,0.25,6.87,4.47,2.38,0.03,1062,Sub-Saharan Africa
Bangladesh,BGD,2005,67.773,499.461940239156,2.393228508778654,,81,MF,15,19,18.9,23.6,23.6,57.23,29.19,0.26,0.05,7.53,4.06,3.46,0.01,14896,South Asia
Bangladesh,BGD,2010,69.881,781.153577677298,2.473246474768806,1.033435154936788,81,MF,15,19,0.1,37.0,37.0,62.38,32.41,0.52,0.1,8.21,5.0,3.2,0.01,16253,South Asia
Bulgaria,BGR,2005,72.5609756097561,3899.90763774017,3.6450516316492014,,150,MF,15,19,2.01,39.56,39.56,58.39,10.67,0.04,0.0,9.22,7.84,1.38,0.0,518,Europe and Central Asia
Bulgaria,BGR,2010,73.5121951219512,6853.00285388669,2.625365197884489,0.7202545980663226,150,MF,15,19,2.94,7.4,7.4,89.66,17.93,0.0,0.0,8.01,3.88,4.12,0.0,402,Europe and Central Asia
Bahrain,BHR,2005,75.326,17959.3968267194,2.9981210587087395,,80,MF,15,19,1.19,24.73,12.38,71.72,18.12,2.36,1.07,8.46,5.56,2.84,0.07,57,Middle East and North Africa
Bahrain,BHR,2010,76.057,20722.0704900745,2.843239710784029,0.9483405289873732,80,MF,15,19,2.83,19.65,10.02,77.51,20.77,0.01,0.01,8.49,5.54,2.95,0.0,67,Middle East and North Africa
Belize,BLZ,2005,69.998,3916.35537819234,23.553385409198697,,143,MF,15,19,0.41,21.24,21.18,73.69,20.9,4.66,0.91,10.15,7.96,2.08,0.11,29,Latin America and the Caribbean
Belize,BLZ,2010,72.057,4304.11110815138,29.18935500758976,1.239284905353349,143,MF,15,19,0.06,8.39,8.33,85.76,26.84,5.79,1.12,10.45,5.99,4.31,0.14,32,Latin America and the Caribbean
Bolivia,BOL,2005,65.312,1034.31180576725,6.12701520508835,,68,MF,15,19,4.52,20.37,8.03,71.94,45.07,3.17,0.0,9.68,7.14,2.47,0.06,957,Latin America and the Caribbean
Bolivia,BOL,2010,68.007,1955.460180975,6.173228642967199,1.0075425694782787,68,MF,15,19,0.41,29.43,14.94,67.07,15.62,3.1,0.0,7.75,5.54,2.15,0.06,1077,Latin America and the Caribbean
Brazil,BRA,2005,71.896,4790.45656586131,32.12936095143149,,69,MF,15,19,2.5,39.8,34.0,57.68,13.04,0.01,0.0,8.63,7.57,1.06,0.0,17385,Latin America and the Caribbean
Brazil,BRA,2010,73.619,11286.071540212,31.72427736181651,0.9873921056124546,69,MF,15,19,0.88,36.52,31.66,62.24,17.52,0.37,0.04,6.92,3.87,3.04,0.01,16501,Latin America and the Caribbean
Barbados,BRB,2005,77.915,13822.7417486972,12.987167557311754,,49,MF,15,19,0.21,0.04,0.03,92.87,8.0,6.87,1.33,9.59,5.99,3.44,0.16,20,Latin America and the Caribbean
Barbados,BRB,2010,78.364,16056.1168470231,11.169168473282188,0.8600157366102483,49,MF,15,19,2.18,0.04,0.03,83.64,6.34,14.14,2.74,9.55,5.87,3.34,0.34,18,Latin America and the Caribbean
Botswana,BWA,2005,52.13,5513.33106259322,25.576548116833013,,4,MF,15,19,1.52,1.08,0.96,96.48,26.93,0.92,0.18,10.39,6.89,3.48,0.02,225,Sub-Saharan Africa
Botswana,BWA,2010,60.211,6434.81248526822,23.93178008377438,0.9356923371541236,4,MF,15,19,0.09,4.26,3.84,94.16,23.72,1.49,0.29,10.39,6.98,3.37,0.04,222,Sub-Saharan Africa
Central African Republic,CAF,2005,44.744,331.294821098185,6.661152791167009,,9,MF,15,19,49.78,31.79,24.68,18.24,5.79,0.19,0.04,3.72,2.8,0.92,0.0,463,Sub-Saharan Africa
Central African Republic,CAF,2010,47.312,488.421735800876,6.860037987012681,1.0298574739359534,9,MF,15,19,52.79,27.71,22.33,19.31,6.37,0.19,0.04,3.65,2.67,0.98,0.0,510,Sub-Saharan Africa
Canada,CAN,2005,80.1926829268293,36382.5079164537,1.7411668485958751,,50,MF,15,19,1.7,0.19,0.13,94.81,30.79,3.3,0.06,9.93,5.9,3.97,0.07,2155,Advanced Economies
Canada,CAN,2010,81.2463414634146,47562.0834253057,1.8248204101419825,1.0480445407133543,50,MF,15,19,0.1,2.61,1.88,93.36,35.72,3.93,0.07,10.16,5.97,4.11,0.08,2230,Advanced Economies
